rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
1,Erling,Haaland,208.88,24.62,6.31,30.94,26.02,34.12,2652.56,4,Haaland,FWD,Man City,2025-26,1.05,208.88,"recency-weighted FPL points, decay 8**(-age/3)"
2,Bruno,Borges Fernandes,192.75,8.25,16.69,24.94,19.74,31.94,2883.81,4,B.Fernandes,MID,Man United,2025-26,0.78,192.75,"recency-weighted FPL points, decay 8**(-age/3)"
3,Ollie,Watkins,176.16,15.88,6.98,22.86,16.36,27.0,2807.25,6,Watkins,FWD,Aston Villa,2025-26,0.73,176.16,"recency-weighted FPL points, decay 8**(-age/3)"
4,Bryan,Mbeumo,161.97,12.31,5.41,17.72,16.78,18.12,2676.22,5,Mbeumo,MID,Man United,2025-26,0.6,161.97,"recency-weighted FPL points, decay 8**(-age/3)"
5,Gabriel,dos Santos Magalhães,161.5,2.81,3.12,5.94,4.32,19.19,2559.06,4,Gabriel,DEF,Arsenal,2025-26,0.21,161.5,"recency-weighted FPL points, decay 8**(-age/3)"
6,Morgan,Gibbs-White,159.92,10.2,7.01,17.21,12.09,15.86,2853.51,8,Gibbs-White,MID,Nott'm Forest,2025-26,0.54,159.92,"recency-weighted FPL points, decay 8**(-age/3)"
7,Bukayo,Saka,159.06,8.3,10.41,18.71,15.41,19.03,2250.82,8,Saka,MID,Arsenal,2025-26,0.75,159.06,"recency-weighted FPL points, decay 8**(-age/3)"
8,Declan,Rice,157.2,4.2,7.74,11.95,8.87,18.97,3045.41,10,Rice,MID,Arsenal,2025-26,0.35,157.2,"recency-weighted FPL points, decay 8**(-age/3)"
9,Antoine,Semenyo,156.75,12.31,5.25,17.56,11.48,14.31,2678.5,4,Semenyo,MID,Man City,2025-26,0.59,156.75,"recency-weighted FPL points, decay 8**(-age/3)"
10,Virgil,van Dijk,154.19,4.35,1.19,5.54,4.12,9.45,3264.37,10,Virgil,DEF,Liverpool,2025-26,0.15,154.19,"recency-weighted FPL points, decay 8**(-age/3)"
11,Cole,Palmer,142.47,11.5,5.22,16.72,16.34,18.25,2128.53,7,Palmer,MID,Chelsea,2025-26,0.71,142.47,"recency-weighted FPL points, decay 8**(-age/3)"
12,Jordan,Pickford,141.21,0.0,0.31,0.31,0.23,13.25,3391.21,10,Pickford,GKP,Everton,2025-26,0.01,141.21,"recency-weighted FPL points, decay 8**(-age/3)"
13,Bruno,Guimarães Rodriguez Moura,138.66,7.03,6.47,13.5,9.49,16.03,2656.91,5,Bruno G.,MID,Arsenal,2025-26,0.46,138.66,"recency-weighted FPL points, decay 8**(-age/3)"
14,James,Tarkowski,138.51,1.51,2.03,3.54,4.18,10.5,3229.21,10,Tarkowski,DEF,Everton,2025-26,0.1,138.51,"recency-weighted FPL points, decay 8**(-age/3)"
15,Marc,Guéhi,136.53,2.38,3.16,5.53,4.52,10.88,2901.06,5,Guéhi,DEF,Man City,2025-26,0.17,136.53,"recency-weighted FPL points, decay 8**(-age/3)"
16,Phil,Foden,136.42,8.78,5.02,13.79,10.82,14.46,2053.57,9,Foden,MID,Man City,2025-26,0.6,136.42,"recency-weighted FPL points, decay 8**(-age/3)"
17,João Pedro,Junqueira de Jesus,134.9,11.22,6.41,17.62,13.53,23.12,2121.36,5,João Pedro,FWD,Chelsea,2025-26,0.75,134.9,"recency-weighted FPL points, decay 8**(-age/3)"
18,Morgan,Rogers,129.12,7.38,6.88,14.25,8.72,12.25,2498.25,3,Rogers,MID,Chelsea,2025-26,0.51,129.12,"recency-weighted FPL points, decay 8**(-age/3)"
19,William,Saliba,128.81,1.38,0.19,1.56,2.37,12.0,2645.19,6,Saliba,DEF,Arsenal,2025-26,0.05,128.81,"recency-weighted FPL points, decay 8**(-age/3)"
20,Dominik,Szoboszlai,128.12,4.88,6.5,11.38,10.14,14.88,2500.0,3,Szoboszlai,MID,Liverpool,2025-26,0.41,128.12,"recency-weighted FPL points, decay 8**(-age/3)"
21,Enzo,Fernández,124.5,6.88,5.0,11.88,13.75,12.81,2665.44,4,Enzo,MID,Man City,2025-26,0.4,124.5,"recency-weighted FPL points, decay 8**(-age/3)"
22,Elliot,Anderson,123.89,2.5,4.31,6.81,5.77,10.5,2499.48,6,Anderson,MID,Man City,2025-26,0.25,123.89,"recency-weighted FPL points, decay 8**(-age/3)"
23,Eberechi,Eze,123.36,7.59,4.59,12.19,10.17,10.77,2069.33,6,Eze,MID,Arsenal,2025-26,0.53,123.36,"recency-weighted FPL points, decay 8**(-age/3)"
24,Tyrick,Mitchell,123.28,0.77,3.59,4.36,3.88,6.95,3105.2,7,Mitchell,DEF,Crystal Palace,2025-26,0.13,123.28,"recency-weighted FPL points, decay 8**(-age/3)"
25,Harry,Wilson,120.21,7.18,6.2,13.38,7.62,12.8,1904.98,7,Wilson,MID,Brentford,2025-26,0.63,120.21,"recency-weighted FPL points, decay 8**(-age/3)"
26,Jean-Philippe,Mateta,119.83,11.8,1.41,13.2,13.62,16.41,2135.42,6,Mateta,FWD,Crystal Palace,2025-26,0.56,119.83,"recency-weighted FPL points, decay 8**(-age/3)"
27,Bernd,Leno,118.91,0.0,0.5,0.5,0.02,8.46,3286.94,8,Leno,GKP,Fulham,2025-26,0.01,118.91,"recency-weighted FPL points, decay 8**(-age/3)"
28,Cody,Gakpo,116.12,7.44,4.56,12.0,11.22,9.75,2143.31,4,Gakpo,MID,Liverpool,2025-26,0.5,116.12,"recency-weighted FPL points, decay 8**(-age/3)"
29,Alex,Iwobi,115.63,5.11,3.91,9.01,7.72,12.43,2570.21,10,Iwobi,MID,Fulham,2025-26,0.32,115.63,"recency-weighted FPL points, decay 8**(-age/3)"
30,Danny,Welbeck,114.54,10.31,2.77,13.08,11.07,15.88,2057.81,10,Welbeck,FWD,Chelsea,2025-26,0.57,114.54,"recency-weighted FPL points, decay 8**(-age/3)"
31,Dean,Henderson,112.31,0.0,0.01,0.01,0.06,6.64,2866.64,7,Henderson,GKP,Chelsea,2025-26,0.0,112.31,"recency-weighted FPL points, decay 8**(-age/3)"
