id,name,full_name,team,pos,price,status,chance_next,news,minutes,starts,total_points,points_per_game,form,selected_by_pct,ep_next,xG,xA,xGI,xGC,xG_per90,xA_per90,xGI_per90,xGC_per90,goals,assists,goals_minus_xG,assists_minus_xA,clean_sheets,goals_conceded,goals_conceded_per90,clean_sheets_per90,saves,saves_per90,own_goals,pens_saved,pens_missed,yellow,red,tackles,cbi,recoveries,defensive_contribution,def_contrib_per90,influence,creativity,threat,ict_index,bonus,bps
428,Cunha,Matheus Santos Carneiro da Cunha,Man Utd,MID,8.0,a,,,158,2,11,5.5,5.5,8.8,5.5,0.35,0.36,0.71,2.02,0.2,0.21,0.41,1.15,0,2,-0.35,1.64,0,3,1.71,0.0,0,0.0,0,0,0,0,0,0,0,5,5,2.85,5.4,28.2,35.0,6.9,1,45
98,Janelt,Vitaly Janelt,Brentford,MID,5.0,a,,,180,2,10,5.0,5.0,0.6,5.0,0.39,0.31,0.7,2.03,0.2,0.16,0.36,1.02,1,0,0.61,-0.31,1,1,0.5,0.5,0,0.0,0,0,0,2,0,7,11,5,23,11.5,53.2,38.8,24.0,11.6,0,46
226,Pickford,Jordan Pickford,Everton,GK,5.5,a,,,180,2,10,5.0,5.0,9.0,5.0,0.0,0.02,0.02,4.12,0.0,0.01,0.01,2.06,0,0,0.0,-0.02,1,1,0.5,0.5,8,4.0,0,0,0,0,0,0,4,23,0,0.0,31.8,0.0,0.0,3.2,0,56
230,Branthwaite,Jarrad Branthwaite,Everton,DEF,5.5,a,,,180,2,10,5.0,5.0,1.9,5.0,0.09,0.02,0.11,4.12,0.04,0.01,0.05,2.06,0,0,-0.09,-0.02,1,1,0.5,0.5,0,0.0,0,0,0,0,0,3,17,5,20,10.0,18.6,0.8,6.0,2.5,0,33
233,Mykolenko,Vitalii Mykolenko,Everton,DEF,4.5,a,,,180,2,10,5.0,5.0,1.7,5.0,0.0,0.06,0.06,4.12,0.0,0.03,0.03,2.06,0,0,0.0,-0.06,1,1,0.5,0.5,0,0.0,0,0,0,0,0,1,15,11,16,8.0,12.8,13.8,2.0,2.9,0,34
244,Armstrong,Harrison Armstrong,Everton,MID,5.0,a,,,176,2,10,5.0,5.0,0.3,5.0,0.0,0.07,0.07,4.12,0.0,0.04,0.04,2.11,0,1,0.0,0.93,1,1,0.51,0.51,0,0.0,0,0,0,0,0,5,6,14,25,12.78,28.8,14.7,4.0,4.8,0,37
249,Barry,Thierno Barry,Everton,FWD,5.5,a,,,147,2,10,5.0,5.0,3.9,5.0,1.93,0.09,2.02,2.2,1.18,0.06,1.24,1.35,1,0,-0.93,-0.09,1,1,0.61,0.61,0,0.0,0,0,0,0,0,1,2,3,6,3.67,38.0,19.0,41.0,9.8,2,43
316,Emersonn,Emersonn Correia da Silva,Ipswich Town,FWD,5.5,a,,,110,2,10,5.0,5.0,2.0,5.0,0.82,0.06,0.88,1.37,0.67,0.05,0.72,1.12,1,0,0.18,-0.06,0,2,1.64,0.0,0,0.0,0,0,0,0,0,1,2,1,4,3.27,45.6,26.3,40.0,11.2,3,48
591,Enciso,Julio Enciso,Ipswich Town,MID,5.5,a,100,,160,2,10,5.0,5.0,0.5,5.0,0.63,0.62,1.25,5.19,0.35,0.35,0.7,2.92,0,2,-0.63,1.38,0,6,3.38,0.0,0,0.0,0,0,0,0,0,2,2,12,16,9.0,21.6,14.0,18.0,5.4,0,48
334,Muharemović,Tarik Muharemović,Leeds,DEF,5.0,a,,,180,2,10,5.0,5.0,3.3,5.0,0.09,0.01,0.1,2.33,0.04,0.0,0.04,1.16,0,0,-0.09,-0.01,1,1,0.5,0.5,0,0.0,0,0,0,0,0,2,24,4,26,13.0,15.6,0.6,17.0,3.3,0,42
377,Munoz,Victor Munoz,Liverpool,MID,6.5,a,,,117,1,10,5.0,5.0,0.9,5.0,0.42,0.23,0.65,3.37,0.32,0.18,0.5,2.59,1,1,0.58,0.77,0,2,1.54,0.0,0,0.0,0,0,0,1,0,2,4,1,7,5.38,4.0,8.9,14.0,2.7,0,39
379,Isak,Alexander Isak,Liverpool,FWD,9.0,a,,,180,2,10,5.0,5.0,16.2,5.0,2.08,0.01,2.09,3.88,1.04,0.0,1.04,1.94,1,0,-1.08,-0.01,0,4,2.0,0.0,0,0.0,0,0,0,0,0,1,1,0,2,1.0,11.4,14.6,66.0,9.2,2,36
398,Foden,Phil Foden,Man City,MID,7.0,a,,,171,2,10,5.0,5.0,4.4,5.0,0.99,0.85,1.84,1.31,0.52,0.45,0.97,0.69,0,2,-0.99,1.15,0,2,1.05,0.0,0,0.0,0,0,0,1,0,4,2,7,13,6.84,10.4,49.6,15.0,7.5,1,53
8,Calafiori,Riccardo Calafiori,Arsenal,DEF,5.6,a,,,80,1,9,9.0,4.5,41.6,4.5,0.04,0.09,0.13,0.06,0.04,0.1,0.14,0.07,0,1,-0.04,0.91,1,0,0.0,1.12,0,0.0,0,0,0,0,0,1,4,1,5,5.62,26.0,12.2,4.0,4.2,0,31
12,Saka,Bukayo Saka,Arsenal,MID,9.5,a,,,67,1,9,9.0,4.5,10.2,4.5,0.64,0.08,0.72,0.06,0.86,0.11,0.97,0.08,1,0,0.36,-0.08,1,0,0.0,1.34,0,0.0,0,0,0,0,0,1,2,4,7,9.4,42.8,26.1,33.0,10.2,1,36
79,Evanilson,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,6.0,a,,,154,2,9,4.5,4.5,3.2,4.5,0.58,0.25,0.83,3.61,0.34,0.15,0.49,2.11,0,2,-0.58,1.75,2,0,0.0,1.17,0,0.0,0,0,0,1,0,1,5,5,11,6.43,19.4,11.9,2.0,3.3,0,28
82,Kelleher,Caoimhín Kelleher,Brentford,GK,5.0,a,,,180,2,9,4.5,4.5,6.7,4.5,0.0,0.01,0.01,2.03,0.0,0.0,0.0,1.02,0,0,0.0,-0.01,1,1,0.5,0.5,5,2.5,0,0,0,0,0,0,2,9,0,0.0,31.4,0.0,0.0,3.1,0,41
